"filename", "language", "YAML", "JavaScript", "Dart", "JSON", "HTML", "Markdown", "CMake", "C++", "Swift", "XML", "Properties", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 13, 10, 87
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\assets\lang\en_US.json", "JSON", 0, 0, 0, 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 532
